precio,recamaras,banos,estacionamientos,dimensiones,precio_por_mt2,precio_promedio_por_mt2_por_alcaldia,banos_por_habitacion,habitaciones_totales,alcaldia_Azcapotzalco,alcaldia_Benito Juárez,alcaldia_Coyoacán,alcaldia_Cuajimalpa de Morelos,alcaldia_Cuauhtémoc,alcaldia_Gustavo A. Madero,alcaldia_Iztacalco,alcaldia_Iztapalapa,alcaldia_La Magdalena Contreras,alcaldia_Miguel Hidalgo,alcaldia_Tlalpan,alcaldia_Venustiano Carranza,alcaldia_Álvaro Obregón,log_precio
7500000,3,3,2,140,53571.42857142857,46257.198443579764,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,15.830413711839864
9945880,3,3,2,223,44600.358744394616,52611.76470588235,1.0,6,False,True,False,False,False,False,False,False,False,False,False,False,False,16.112669053576358
6565000,2,2,1,67,97985.07462686567,72589.04109589041,1.0,4,False,False,False,False,True,False,False,False,False,False,False,False,False,15.697263218041947
10550000,3,3,3,197,53553.299492385784,50173.010380622836,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,True,16.171636512673075
14500000,3,4,3,289,50173.010380622836,50173.010380622836,1.3333333333333333,7,False,False,False,False,False,False,False,False,False,False,False,False,True,16.489659276356317
11500000,3,3,3,272,42279.41176470588,75825.49019607843,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,16.257857680289998
7400000,2,2,2,185,40000.0,75825.49019607843,1.0,4,False,False,False,False,False,False,False,False,False,True,False,False,False,15.816990693309524
18500000,3,3,4,446,41479.82062780269,46257.198443579764,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,16.733281344102608
14500000,1,2,2,125,116000.0,72589.04109589041,2.0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,16.489659276356317
16990000,3,2,3,207,82077.29468599033,75825.49019607843,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,True,False,False,False,16.648135552506265
9260000,3,3,2,197,47005.07614213198,52611.76470588235,1.0,6,False,True,False,False,False,False,False,False,False,False,False,False,False,16.041214714613716
16497000,4,4,3,455,36257.142857142855,40000.0,1.0,8,False,False,False,False,False,False,False,False,False,False,True,False,False,16.61868916477514
10599000,3,2,2,230,46082.608695652176,52611.76470588235,0.6666666666666666,5,False,True,False,False,False,False,False,False,False,False,False,False,False,16.17627030935791
20000000,3,1,2,346,57803.46820809248,50173.010380622836,0.3333333333333333,4,False,False,False,False,False,False,False,False,False,False,False,False,True,16.811242881518265
5485000,3,2,2,107,51261.68224299065,52611.76470588235,0.6666666666666666,5,False,True,False,False,False,False,False,False,False,False,False,False,False,15.517527834006856
24000000,4,4,3,321,74766.35514018692,75825.49019607843,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,16.993564429978885
5106915,2,2,1,89,57381.06741573034,52611.76470588235,1.0,4,False,True,False,False,False,False,False,False,False,False,False,False,False,15.44610625748198
21000000,3,3,3,240,87500.0,75825.49019607843,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,16.860033043306743
8000000,2,2,2,112,71428.57142857143,46257.198443579764,1.0,4,False,False,False,True,False,False,False,False,False,False,False,False,False,15.894952224644102
17800000,3,3,3,200,89000.0,75825.49019607843,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,16.694709071442087
20800000,3,3,3,400,52000.0,46257.198443579764,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,16.85046359274847
35000000,3,3,6,420,83333.33333333333,46257.198443579764,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,17.370858648025116
9450000,2,2,2,100,94500.0,72589.04109589041,1.0,4,False,False,False,False,True,False,False,False,False,False,False,False,False,16.061525405290027
6500000,1,1,1,71,91549.2957746479,75825.49019607843,1.0,2,False,False,False,False,False,False,False,False,False,True,False,False,False,15.687312888712007
2400000,1,1,2,28,85714.28571428571,72589.04109589041,1.0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,14.690979711984754
14000000,3,3,3,170,82352.94117647059,75825.49019607843,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,16.454567959008102
6300000,2,2,2,80,78750.0,46257.198443579764,1.0,4,False,False,False,True,False,False,False,False,False,False,False,False,False,15.656060350091908
19000000,3,3,3,360,52777.77777777778,46257.198443579764,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,16.759949589762293
5495000,2,2,2,121,45413.223140495866,50173.010380622836,1.0,4,False,False,False,False,False,False,False,False,False,False,False,False,True,15.519349327803464
9500000,2,2,2,117,81196.5811965812,75825.49019607843,1.0,4,False,False,False,False,False,False,False,False,False,True,False,False,False,16.066802461833923
17900000,4,3,4,410,43658.53658536585,46257.198443579764,0.75,7,False,False,False,True,False,False,False,False,False,False,False,False,False,16.700311326676903
