precio,recamaras,banos,estacionamientos,dimensiones,precio_por_mt2,precio_promedio_por_mt2_por_alcaldia,banos_por_habitacion,habitaciones_totales,alcaldia_Azcapotzalco,alcaldia_Benito Juárez,alcaldia_Coyoacán,alcaldia_Cuajimalpa de Morelos,alcaldia_Cuauhtémoc,alcaldia_Gustavo A. Madero,alcaldia_Iztacalco,alcaldia_Iztapalapa,alcaldia_La Magdalena Contreras,alcaldia_Miguel Hidalgo,alcaldia_Tlalpan,alcaldia_Tláhuac,alcaldia_Venustiano Carranza,alcaldia_Xochimilco,alcaldia_Álvaro Obregón,log_precio
16900000.0,3,3,3,390,43333.333333333336,32638.88888888889,1.0,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.642824239064897
23000000.0,3,2,2,544,42279.41176470588,42135.20749665328,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.951004817371683
75000000.0,20,3,4,905,82872.92817679558,58348.50993377484,0.15,23,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18.132998684833918
23000000.0,5,5,5,991,23208.879919273462,42135.20749665328,1.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.951004817371683
9850000.0,4,3,4,332,29668.67469879518,29268.29268292683,0.75,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16.10298211467111
1840000.0,3,2,1,56,32857.142857142855,25469.16890080429,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14.425276673063282
38500000.0,3,3,6,739,52097.42895805142,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.46616882523204
20000000.0,3,3,3,540,37037.03703703704,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,16.811242881518265
8650000.0,3,3,2,216,40046.2962962963,44286.77014042868,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,15.973069994514992
55965000.0,4,4,7,1200,46637.5,58348.50993377484,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.840237071173814
15500000.0,3,3,5,588,26360.544217687075,29268.29268292683,1.0,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16.5563506464056
15000000.0,4,5,3,526,28517.110266159696,32638.88888888889,1.25,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.52356082573315
4990000.0,3,3,2,74,67432.43243243243,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.422946668128484
62000000.0,4,4,7,530,116981.1320754717,58348.50993377484,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.9426449591384
29990000.0,4,4,6,692,43338.15028901734,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.21637458406964
8490000.0,4,2,3,160,53062.5,47764.786795048145,0.5,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15.954399676073153
28000000.0,8,6,4,450,62222.22222222222,57942.13814445028,0.75,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,17.147715103853763
19500000.0,3,4,2,420,46428.57142857143,47764.786795048145,1.3333333333333333,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.785925074816024
3200000.0,3,2,2,170,18823.529411764706,18823.529411764706,0.6666666666666666,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.978661680269907
5400000.0,4,4,3,149,36241.61073825503,32494.726797910807,1.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15.501909696719672
130650000.0,4,6,6,1300,100500.0,58348.50993377484,1.5,10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18.688032557584933
37500000.0,4,4,4,332,112951.80722891567,58348.50993377484,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.439851517607305
8495000.0,4,2,3,262,32423.664122137405,32494.726797910807,0.5,6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15.954988430804466
71000000.0,5,5,12,2600,27307.69230769231,42135.20749665328,1.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,18.078190449090098
12200000.0,4,4,4,249,48995.983935742974,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.316946591670696
38900000.0,3,4,3,500,77800.0,42135.20749665328,1.3333333333333333,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.476504834295614
29500000.0,4,4,5,750,39333.333333333336,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.19990085520835
9300000.0,3,4,3,116,80172.41379310345,47764.786795048145,1.3333333333333333,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.04552506565036
23400000.0,3,4,3,546,42857.142857142855,58348.50993377484,1.3333333333333333,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,16.96824662306297
16900000.0,4,2,2,314,53821.65605095541,47764.786795048145,0.5,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.642824239064897
29970000.0,4,4,5,527,56869.070208728655,57942.13814445028,1.0,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,17.215707472659545
30000000.0,6,2,4,796,37688.44221105528,57942.13814445028,0.3333333333333333,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,17.216707972959764
8400000.0,3,3,3,212,39622.64150943396,32638.88888888889,1.0,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,15.943742382861155
4500000.0,3,1,2,120,37500.0,47764.786795048145,0.3333333333333333,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15.319588176962746
20000000.0,3,3,4,1137,17590.14951627089,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,16.811242881518265
94900000.0,6,7,12,1846,51408.45070422535,42135.20749665328,1.1666666666666667,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,18.368334274117565
57525000.0,4,4,5,650,88500.0,58348.50993377484,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.86773021126945
62400000.0,4,6,3,534,116853.93258426966,58348.50993377484,1.5,10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.949075849365297
25000000.0,7,5,6,1447,17277.125086385626,42135.20749665328,0.7142857142857143,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.034386422832473
12500000.0,6,3,2,408,30637.254901960783,57942.13814445028,0.5,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.341239282272525
12500000.0,4,5,5,760,16447.36842105263,29268.29268292683,1.25,9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16.341239282272525
23490000.0,4,3,4,791,29696.586599241466,42135.20749665328,0.75,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.972085399206403
32000000.0,3,3,8,900,35555.555555555555,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.281246492014
4750000.0,2,3,3,225,21111.11111111111,37200.0,1.5,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.373655386537118
3490000.0,7,6,2,83,42048.19277108434,42135.20749665328,0.8571428571428571,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.06541258071152
71175000.0,4,5,6,852,83538.73239436619,42135.20749665328,1.25,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,18.080652205178254
18000000.0,3,6,4,357,50420.16806722689,47764.786795048145,2.0,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.705882371415992
21500000.0,4,5,4,282,76241.13475177305,42135.20749665328,1.25,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.88356353960952
57000000.0,4,4,4,467,122055.67451820128,58348.50993377484,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.858561843342684
17200000.0,4,4,6,451,38137.472283813746,47764.786795048145,1.0,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.660419999923214
23850000.0,2,2,4,564,42287.234042553195,42135.20749665328,1.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.987294817227344
8950000.0,3,2,2,247,36234.817813765185,42135.20749665328,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.007164201982874
22786000.0,4,4,5,799,28518.147684605756,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.941656914126796
4000000.0,1,1,2,55,72727.27272727272,44286.77014042868,1.0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,15.201805169084134
20200000.0,3,3,3,471,42887.47346072187,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,16.821193211876384
23500000.0,4,4,4,829,28347.406513872134,47764.786795048145,1.0,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.97251102166758
14900000.0,5,3,4,324,45987.654320987655,57942.13814445028,0.6,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.51687183802978
15900000.0,5,3,1,138,115217.39130434782,57942.13814445028,0.6,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.58182973008354
8500000.0,3,3,2,323,26315.78947368421,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.955576839107596
23000000.0,2,3,3,470,48936.17021276596,42135.20749665328,1.5,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.951004817371683
30000000.0,4,4,4,824,36407.76699029126,44286.77014042868,1.0,8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,17.216707972959764
3000000.0,6,2,2,259,11583.011583011583,18823.529411764706,0.3333333333333333,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,14.914123179965662
80000000.0,4,3,7,447,178970.91722595078,58348.50993377484,0.75,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18.197537205138154
5750000.0,5,2,1,139,41366.90647482014,37200.0,0.4,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.564710586686562
20500000.0,3,5,4,585,35042.73504273504,32638.88888888889,1.6666666666666667,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.835935492889124
20000000.0,4,2,10,700,28571.428571428572,42135.20749665328,0.5,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.811242881518265
12500000.0,3,3,4,228,54824.56140350877,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.341239282272525
23900000.0,3,2,4,470,50851.063829787236,58348.50993377484,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,16.98938905874274
14999000.0,3,2,4,533,28140.712945590993,32638.88888888889,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.523494156848606
34000000.0,3,3,4,1200,28333.333333333332,44286.77014042868,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,17.341871111992198
8500000.0,5,3,4,350,24285.714285714286,32494.726797910807,0.6,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15.955576839107596
53800000.0,4,4,4,1024,52539.0625,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.800784043719375
47000000.0,4,4,5,900,52222.22222222222,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.665658180950928
7950000.0,4,2,3,144,55208.333333333336,37200.0,0.5,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.88868261241667
12500000.0,2,2,4,200,62500.0,66594.8275862069,1.0,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,16.341239282272525
18300000.0,4,3,3,226,80973.45132743364,42135.20749665328,0.75,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.722411672456456
41000000.0,4,4,6,7500,5466.666666666667,32638.88888888889,1.0,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,17.529082649058825
27300000.0,4,4,4,380,71842.1052631579,58348.50993377484,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.122397296785223
11950000.0,3,3,5,500,23900.0,32638.88888888889,1.0,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.2962419200238
28500000.0,3,3,3,223,127802.69058295964,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.1654146803266
6900000.0,6,6,4,366,18852.45901639344,25469.16890080429,1.0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,15.747032114495013
6550000.0,4,4,2,315,20793.650793650795,25469.16890080429,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,15.694975760283178
11300000.0,3,3,3,237,47679.324894514764,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.24031337217814
8499000.0,3,2,1,225,37773.333333333336,42135.20749665328,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.955459185141658
10900000.0,6,3,2,228,47807.01754385965,42135.20749665328,0.5,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.204273438942487
37800000.0,3,3,5,834,45323.74100719424,32638.88888888889,1.0,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,17.44781968704484
29800000.0,4,5,7,490,60816.32653061225,42135.20749665328,1.25,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.21001898503268
13999000.0,3,3,3,145,96544.8275862069,44286.77014042868,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,16.454496527890633
48165000.0,5,4,3,812,59316.50246305419,58348.50993377484,0.8,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.690143194935825
46500000.0,6,3,2,850,54705.882352941175,58348.50993377484,0.5,9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.65496289206296
29900000.0,3,4,5,773,38680.46571798189,42135.20749665328,1.3333333333333333,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.21336907180573
89700000.0,4,4,12,1448,61947.5138121547,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,18.311981338177297
11500000.0,12,6,6,387,29715.762273901808,42135.20749665328,0.5,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.257857680289998
12950000.0,3,3,6,311,41639.87138263666,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.376606423329896
5800000.0,7,3,6,200,29000.0,32494.726797910807,0.42857142857142855,10,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15.573368647930426
20000000.0,5,3,7,346,57803.46820809248,57942.13814445028,0.6,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.811242881518265
24990000.0,6,5,8,781,31997.43918053777,42135.20749665328,0.8333333333333334,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.03398634282714
14990000.0,3,3,3,2024,7406.126482213439,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.52289393678992
33000000.0,5,3,4,611,54009.819967266776,58348.50993377484,0.6,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.312018149733785
69000000.0,4,3,10,1225,56326.5306122449,42135.20749665328,0.75,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,18.049617077054286
